Id,Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization,
1,NABIL,497.3,500.9,497,498.5,75640,37753491.4,499.3,562,471,498.5,472,499.12,134879.14,
2,SCB,639.9,640.8,633.3,638,27351,17478281.6,639.9,701,594.9,638,157,639.03,64070.31,
3,HBL,190,192.5,188.9,189.8,101487,19311749.7,190,261,184,189.8,1726,190.28,42860,
4,EBL,666,680,665,670,55470,37377711.1,669,780.6,594,670,221,673.83,91933.22,
5,NICA,333.9,333.9,327.3,328.7,48970,16122325,327.7,428.4,304.5,328.7,225,329.22,49034.04,
6,LSL,210,212,207.1,208.9,56666,11823330.8,209,252,201,208.9,189,208.64,55945.85,
7,KBL,188,190.5,185.1,185.5,227052,42521803.1,185.2,233.5,175.5,185.5,587,187.27,48648.97,
8,SHL,500,504,496,498,27063,13556734.9,503.5,619,464,498,84,500.93,58522.08,
9,TRH,764.1,777.5,751,762,3228,2454320.3,764,1190,681.1,762,46,760.32,14951.36,
10,BPCL,770.1,770.1,741,743,70700,53362493.2,755,1065,380.7,743,359,754.77,25329.35,
11,BBC,4811,4888.9,4778,4800,1287,6180928.4,4865,6661.6,4480,4800,73,4802.58,192480,
12,NUBL,712,716,710.7,710.7,7590,5414805.7,709,854.4,650,710.7,31,713.41,19492.25,
13,CBBL,945,948,935,936,13387,12575603.3,940,1144.8,821.5,936,152,939.38,33857.59,
14,SANIMA,327,336,327,329,66785,22108389.5,333,391,285,329,228,331.03,44683.22,
15,NICL,515,517.9,507,510,16255,8303724.1,511.9,1047,489.1,510,120,510.84,12997.73,
16,HEI,523,524,515,515,9317,4810982.3,516,685,458,515,61,516.36,12875.81,
17,NIL,647,647,626,629.9,17209,10897768.2,635.83,831.3,562,629.9,133,633.25,17462.58,
18,SALICO,605.9,615.8,600,600,6863,4162624.1,605.9,775,570.1,600,41,606.53,15735.83,
19,NLIC,775,775,765.2,765.3,21973,16906560.5,770.1,890,702,765.3,244,769.42,72551.98,
20,LICN,860,868,848,848.1,19598,16747030.9,855,1415,773,848.1,135,854.52,46645.5,
21,SICL,631,636,628,630,14418,9101393.9,633,891,588.8,630,96,631.25,19520.45,
22,CIT,1783,1783,1755,1760,10344,18203345,1758,2200,1730.8,1760,213,1759.79,119782.05,
23,BFC,491,496,482.6,485,47894,23434312.6,482.3,704,411.5,485,258,489.29,4318.56,
24,GFCL,659,680,657,665,45416,30327780.9,657.3,811,528.3,665,287,667.77,6291.67,
25,HDL,1163.8,1163.8,1140,1143,66291,75943810.9,1141,1556.1,1103,1143,687,1145.61,42154.78,
26,PFL,377.5,391,377.5,383.7,18089,6998598.3,385,520,352.8,383.7,135,386.89,4153.77,
27,SFCL,399,401,391,391.5,13682,5395278.8,393.5,660,359.4,391.5,92,394.33,3206.04,
28,SWBBL,732,785,732,736,12341,9131978.1,740,1046.5,724.8,736,90,739.97,12880.01,
29,NIMB,194,194,190.1,190.3,172367,32932287.3,192.3,247,187,190.3,483,191.05,64946.72,
30,SBI,410,418,398.9,412,41210,16617677.6,407,452,363,412,136,403.24,46700.71,
31,MBL,230.9,233.7,228,230,77346,17825492.3,227,272.1,205,230,216,230.46,27798.29,
32,SBL,380.1,387,379.5,380,51089,19503461.4,384.8,416,261,380,111,381.75,56219.02,
33,OHL,735.9,735.9,717,717,3417,2467256.8,726,1100,633.1,717,39,722.05,8492.83,
34,NHPC,219,224,217,217,483728,106612202.2,215.8,244.5,178.6,217,965,220.39,5352.17,
35,CHCL,470,476,468.1,470,25141,11854550.9,470,599.6,456,470,212,471.52,44579.45,
36,STC,5527,5551,5462,5476,4692,25904718.5,5527,5800,4832,5476,33,5521.03,17562.47,
37,DDBL,834,850,833.2,846,13731,11636745.3,836.8,1010,759,846,116,847.47,17386.27,
38,NABBC,1754.2,1754.2,1611,1689,34743,57812531.1,1789.9,2060,662,1689,196,1664,8866.16,
39,RBCL,14999,15005,14950,15005,144,2159439,14910,16900,14251,15005,15,14996.1,40008.81,
40,NLICL,585.1,595,585.1,587,10971,6474910.8,595,738,539,587,55,590.18,33409.98,
41,UAIL,485,495,476,481,73246,35453145.8,477.8,767,422.1,481,412,484.02,11111.1,
42,SPIL,704,725,702.5,715,8954,6324834.1,711,980.4,625,715,69,706.36,20066.83,
43,PRIN,749.9,753,725.2,726,12464,9182369,738.8,1088.8,630,726,78,736.71,12348.94,
44,IGI,448.7,448.7,434,439.9,28998,12776012,440,664.2,392,439.9,168,440.58,13326.04,
45,NFS,659,672,654,660,40594,26921459.8,659,859.6,576,660,225,663.18,5537.03,
46,BNL,15200.5,15400,15200.5,15400,30,459505,15344,22500,15044,15400,3,15316.83,30012.86,
47,GUFL,587,594,576,577,38535,22572459.7,579,685.4,460.6,577,306,585.76,5008.32,
48,BNT,12000,12000,11765,11942.9,117,1382949,11950,14680,10660,11942.9,10,11820.07,14450.91,
49,UNL,46700,46701,46700,46701,20,934010,47600,50724,45000,46701,2,46700.5,42997.61,
50,NMB,236,242,234.2,234.3,27583,6502066.2,234.1,283,231,234.3,132,235.72,45184.85,
51,SIFC,630,638.8,595,611.4,61587,37563270.2,627.9,687.4,459,611.4,247,609.92,6114,
52,CFCL,568,579.8,552,566,45616,25632663.6,559.9,701,445.1,566,185,561.92,5370.64,
53,JFL,440,443.7,432.1,440.1,20875,9143928,440,625,395,440.1,168,438.03,3038.77,
54,PRVU,188.5,188.6,184,185,192208,35592082.6,187,250.9,179.9,185,502,185.17,43553.61,
55,GMFIL,480,485.9,471.4,477,24469,11713938.4,474,592.5,393.1,477,148,478.72,4828.08,
56,EDBL,610,613,596,596.5,20167,12112628.6,599,838.2,545,596.5,104,600.61,7454.43,
57,NTC,855,860,848,850,17064,14546845.2,853,996.3,762.5,850,233,852.48,153000,
58,PROFL,475,481,469,474.8,17564,8358779.8,470.1,650.1,421.4,474.8,103,475.9,4064.8,
59,GBIME,226.1,228.1,225.4,225.7,92958,21063294.9,225.4,278.9,210.7,225.7,396,226.58,86027.48,
60,CZBIL,193.2,194.5,192,192.9,67463,13023690.7,193.8,240.1,183,192.9,232,193.04,29913.9,
61,LBBL,493.8,493.9,479,480,76440,36993415.5,485,646.3,376.5,480,278,483.95,17393.66,
62,AHPC,280,290,275,275.4,409323,115493339.6,277,334,242.5,275.4,969,282.15,11127.27,
63,NMLBBL,630.1,643,627.5,631.7,20181,12741891.1,630,807,600,631.7,143,631.38,8829.68,
64,SJLIC,444.1,446,437,438.1,38918,17236582.8,443,504,390,438.1,264,442.89,21957.34,
65,KSBBL,465,469,458,460,27668,12794523.4,462,588,404.1,460,102,462.43,17764.88,
